customer_id,age,gender,country,signup_date
1,56,Male,CN,2024-03-29
2,69,Female,CN,2022-06-18
3,46,Male,NZ,2024-01-31
4,32,Male,UK,2024-03-02
5,60,Female,AU,2024-09-26
6,25,Female,UK,2022-06-01
7,38,Female,UK,2022-08-12
8,56,Female,UK,2023-05-19
9,36,Male,NZ,2024-01-07
10,40,Female,NZ,2023-07-04
11,28,Female,AU,2022-02-13
12,28,Other,UK,2023-11-28
13,41,Female,NZ,2023-05-19
14,53,Female,AU,2024-08-12
15,57,Other,AU,2022-08-29
16,41,Other,UK,2024-07-18
17,20,Male,US,2024-04-22
18,39,Other,UK,2022-12-17
19,19,Male,US,2023-12-23
20,41,Other,AU,2022-01-23
21,61,Other,NZ,2023-09-28
22,47,Male,CN,2023-08-21
23,55,Other,AU,2022-02-12
24,19,Male,NZ,2023-04-11
25,38,Other,AU,2022-02-09
26,50,Female,UK,2022-10-30
27,29,Other,US,2023-11-12
28,39,Male,AU,2022-06-24
29,61,Other,NZ,2024-09-25
30,42,Male,UK,2023-06-16
31,66,Male,CN,2023-04-06
32,44,Female,UK,2023-09-13
33,59,Female,US,2022-07-12
34,45,Male,UK,2022-09-01
35,33,Other,CN,2024-04-15
36,32,Male,NZ,2022-10-07
37,64,Male,AU,2024-01-10
38,68,Other,US,2022-02-05
39,61,Other,CN,2023-07-11
40,69,Other,US,2024-06-16
41,20,Other,UK,2023-06-24
42,54,Male,US,2022-06-03
43,68,Male,CN,2022-01-23
44,24,Female,AU,2023-12-20
45,38,Male,AU,2024-07-20
46,26,Other,US,2022-04-01
47,56,Female,NZ,2023-01-25
48,35,Other,US,2024-07-19
49,21,Male,UK,2022-12-25
50,42,Female,AU,2023-07-04
51,31,Other,AU,2024-07-19
52,67,Female,AU,2022-08-16
53,26,Female,NZ,2022-07-21
54,43,Male,NZ,2022-12-16
55,19,Other,CN,2024-03-31
56,37,Female,US,2024-02-05
57,45,Female,US,2022-02-07
58,64,Other,UK,2024-01-03
59,24,Female,AU,2023-05-15
60,61,Female,NZ,2023-11-30
61,25,Female,UK,2022-02-12
62,64,Other,UK,2024-05-20
63,52,Other,NZ,2023-09-18
64,31,Other,US,2024-02-11
65,34,Other,AU,2023-06-01
66,53,Male,US,2022-03-09
67,67,Female,UK,2024-01-10
68,57,Other,AU,2022-05-03
69,21,Female,CN,2023-11-16
70,19,Female,UK,2022-12-02
71,23,Male,US,2022-06-02
72,59,Other,US,2024-08-31
73,21,Other,US,2024-02-18
74,46,Female,NZ,2023-10-31
75,35,Other,UK,2022-06-11
76,43,Female,AU,2022-08-02
77,61,Female,US,2024-06-28
78,51,Male,US,2023-01-11
79,27,Male,NZ,2024-07-08
80,53,Male,AU,2023-03-19
81,31,Female,UK,2023-02-27
82,48,Other,CN,2023-06-22
83,65,Male,NZ,2024-07-27
