inventory_id,product_id,stock_level,warehouse,date
1,44,507,WH_C,2023-08-07
2,27,383,WH_B,2024-04-06
3,322,502,WH_C,2023-10-28
4,192,737,WH_B,2023-04-02
5,51,861,WH_C,2023-04-26
6,137,160,WH_A,2023-02-14
7,333,165,WH_A,2024-02-06
8,81,749,WH_C,2024-07-02
9,260,734,WH_C,2023-05-12
10,313,502,WH_A,2024-02-24
11,191,168,WH_C,2023-08-11
12,341,480,WH_A,2023-05-04
13,48,312,WH_C,2023-04-30
14,165,701,WH_A,2024-05-25
15,237,461,WH_C,2024-08-10
16,10,110,WH_B,2023-08-16
17,295,464,WH_C,2024-03-17
18,180,364,WH_B,2023-06-12
19,4,125,WH_C,2024-03-25
20,58,215,WH_A,2023-08-15
21,271,800,WH_B,2023-05-15
22,170,93,WH_A,2024-11-16
23,311,375,WH_B,2023-08-29
24,142,463,WH_A,2023-11-01
25,365,550,WH_C,2024-08-08
26,79,326,WH_B,2023-01-15
27,8,98,WH_A,2024-02-14
28,234,393,WH_B,2024-06-18
29,419,66,WH_B,2024-09-05
30,303,836,WH_B,2023-07-12
31,213,37,WH_A,2024-05-17
32,410,876,WH_B,2024-08-21
33,80,470,WH_B,2023-07-12
34,161,2,WH_A,2024-08-09
35,394,337,WH_B,2024-03-11
36,420,931,WH_C,2023-04-08
37,282,746,WH_A,2023-04-24
38,19,415,WH_A,2023-05-19
39,228,946,WH_A,2024-04-03
40,245,653,WH_B,2024-07-03
41,448,213,WH_B,2024-11-12
42,324,664,WH_A,2024-07-03
43,329,662,WH_A,2023-08-10
44,188,982,WH_C,2023-12-08
45,56,297,WH_B,2024-07-15
46,125,661,WH_C,2023-05-21
47,396,66,WH_A,2023-12-21
48,426,395,WH_A,2023-04-24
49,162,178,WH_C,2023-01-04
50,442,248,WH_C,2024-05-24
51,1,523,WH_A,2023-07-15
52,443,514,WH_C,2024-05-05
53,229,944,WH_B,2023-06-21
54,293,173,WH_C,2023-10-08
55,298,320,WH_A,2023-01-08
56,332,933,WH_B,2024-05-16
57,57,702,WH_B,2023-10-07
58,330,466,WH_A,2024-10-04
59,28,42,WH_C,2023-01-06
60,362,832,WH_A,2024-01-31
61,239,719,WH_C,2023-12-15
62,382,588,WH_A,2024-03-05
63,400,80,WH_A,2024-01-01
64,62,923,WH_C,2024-08-19
65,477,476,WH_C,2024-03-30
66,20,414,WH_C,2023-08-19
67,217,269,WH_C,2023-12-05
68,378,499,WH_C,2024-03-12
69,100,739,WH_B,2023-03-07
70,349,313,WH_B,2023-12-28
71,423,60,WH_B,2023-02-01
72,448,403,WH_A,2024-05-24
73,309,144,WH_A,2023-12-04
74,63,443,WH_C,2023-02-21
75,141,344,WH_A,2023-12-23
76,20,347,WH_A,2024-11-11
77,462,181,WH_A,2023-10-19
78,436,727,WH_B,2023-01-01
79,98,866,WH_C,2024-02-06
80,388,272,WH_A,2023-10-02
81,402,754,WH_A,2024-04-28
82,149,877,WH_C,2024-08-13
83,129,441,WH_A,2023-06-08
84,169,458,WH_C,2024-04-27
85,303,314,WH_A,2024-05-07
86,107,747,WH_B,2024-03-15
87,146,268,WH_C,2023-07-27
88,391,326,WH_A,2023-05-19
89,94,212,WH_A,2023-11-18
90,218,56,WH_A,2024-11-17
91,167,662,WH_C,2023-01-14
92,496,326,WH_A,2024-05-18
93,350,493,WH_A,2024-05-18
94,64,615,WH_B,2024-08-05
95,246,238,WH_C,2024-11-22
96,498,760,WH_B,2024-08-10
97,126,940,WH_B,2024-04-01
98,371,200,WH_A,2023-12-07
99,114,67,WH_A,2023-06-18
100,59,927,WH_A,2023-09-23
101,338,828,WH_C,2023-03-30
102,452,226,WH_A,2023-11-21
103,86,821,WH_C,2023-04-10
104,494,169,WH_C,2024-09-04
105,220,280,WH_B,2023-11-09
106,28,280,WH_B,2023-11-30
107,187,32,WH_C,2023-04-26
108,416,359,WH_B,2023-11-01
109,174,727,WH_C,2023-04-11
110,156,503,WH_C,2023-02-06
111,276,675,WH_A,2023-11-07
112,116,479,WH_C,2023-02-22
113,128,80,WH_C,2024-10-28
114,301,368,WH_A,2024-01-28
115,354,593,WH_B,2023-08-02
116,173,105,WH_C,2023-02-01
117,266,585,WH_A,2023-06-01
118,52,929,WH_A,2024-10-08
119,146,71,WH_C,2023-04-24
120,456,871,WH_C,2024-03-05
121,127,691,WH_B,2024-09-29
122,341,524,WH_C,2024-11-14
123,423,368,WH_B,2023-07-17
124,359,906,WH_C,2024-03-02
125,266,407,WH_C,2023-05-02
126,491,375,WH_C,2023-07-17
127,175,22,WH_B,2023-10-10
128,197,619,WH_A,2024-10-25
129,161,629,WH_C,2024-05-27
130,20,478,WH_A,2023-07-29
131,431,544,WH_B,2023-08-06
132,212,849,WH_C,2024-11-28
133,88,306,WH_C,2024-09-23
134,172,753,WH_B,2024-05-06
135,109,111,WH_A,2024-10-22
136,294,93,WH_B,2023-03-08
137,118,843,WH_A,2023-08-05
138,418,136,WH_C,2024-01-17
139,473,459,WH_A,2023-09-16
140,331,302,WH_B,2023-07-06
141,304,170,WH_B,2023-06-05
142,180,823,WH_C,2024-09-17
143,92,933,WH_C,2023-02-26
144,201,651,WH_C,2023-12-16
145,21,822,WH_C,2024-04-03
146,448,651,WH_B,2024-06-21
147,256,949,WH_C,2023-12-13
148,406,815,WH_B,2024-05-20
149,178,951,WH_B,2023-09-19
150,363,445,WH_B,2024-03-23
151,59,158,WH_C,2024-11-28
152,56,331,WH_A,2024-06-21
153,236,737,WH_B,2023-09-09
154,220,300,WH_A,2023-08-17
155,331,837,WH_C,2023-07-03
156,418,897,WH_A,2024-01-17
157,52,720,WH_C,2023-06-26
158,305,172,WH_C,2023-04-26
159,35,369,WH_A,2024-05-25
160,4,362,WH_B,2023-10-12
161,258,779,WH_B,2024-02-21
162,471,412,WH_A,2023-05-27
163,458,620,WH_B,2024-02-13
164,63,550,WH_A,2023-03-14
165,185,871,WH_B,2024-02-26
166,393,557,WH_B,2023-10-21
167,434,78,WH_A,2023-10-18
168,161,782,WH_C,2023-06-08
169,392,170,WH_B,2023-08-02
170,79,444,WH_A,2024-04-21
171,336,525,WH_C,2024-04-10
172,61,272,WH_C,2023-12-30
