campaign_id,channel,cost,conversions,date
1,Google,3504.08,217,2023-09-20
2,TikTok,2510.89,381,2024-10-04
3,TikTok,1520.5,401,2023-09-11
4,Instagram,1432.05,428,2024-03-05
5,Email,162.01,267,2023-12-15
6,Facebook,3080.93,360,2024-04-03
7,TikTok,2649.7,474,2024-01-21
8,TikTok,1327.94,51,2023-12-24
9,Email,1238.8,318,2023-04-22
10,TikTok,1034.81,188,2023-03-17
11,Facebook,1039.29,372,2023-04-30
12,Instagram,3530.87,480,2024-07-12
13,Google,1975.12,10,2024-06-04
14,Instagram,428.71,219,2024-02-24
15,TikTok,107.65,324,2024-09-28
16,Email,2150.89,109,2024-08-25
17,Google,3346.68,220,2023-03-29
18,Instagram,2614.09,438,2023-10-06
19,Email,4421.39,181,2024-10-11
20,Email,2499.43,305,2024-02-07
21,Instagram,992.2,61,2024-08-29
22,TikTok,1295.23,122,2023-11-22
23,Google,2706.57,128,2023-06-06
24,Google,1797.97,24,2023-08-08
25,Facebook,988.53,276,2024-03-10
26,TikTok,2393.75,155,2023-10-23
27,TikTok,145.11,235,2023-11-14
28,Email,4008.88,319,2023-01-27
29,Google,1934.4,352,2024-08-27
30,Facebook,713.56,126,2024-03-20
31,Instagram,166.74,193,2024-05-07
32,Instagram,2013.87,214,2024-04-16
33,Facebook,4911.59,235,2024-09-21
34,Email,3506.58,142,2024-06-08
35,Instagram,1816.64,159,2023-06-04
36,Google,1227.71,476,2023-02-10
37,Instagram,3762.96,233,2023-04-26
38,Facebook,4925.17,465,2023-02-16
39,Google,2455.89,318,2024-04-21
40,Google,2094.6,76,2023-05-06
41,Google,741.76,152,2023-08-02
42,TikTok,828.3,48,2023-07-08
43,Facebook,1011.83,346,2024-10-03
44,TikTok,4355.25,46,2023-09-30
45,Instagram,2726.62,445,2024-06-18
46,Google,2702.79,260,2023-03-18
47,Instagram,229.17,471,2023-12-18
48,Google,3671.86,150,2023-03-28
49,Instagram,1669.24,47,2024-08-07
50,TikTok,700.11,336,2024-10-14
51,Facebook,765.56,400,2023-10-13
52,Email,4136.17,206,2024-11-27
53,Facebook,2426.15,236,2024-10-09
54,Instagram,431.06,0,2024-01-23
55,Facebook,691.87,302,2024-03-21
56,Google,4262.91,373,2024-04-30
57,Email,2356.32,62,2023-10-18
58,Google,4012.8,413,2023-04-18
59,Instagram,1518.73,35,2023-12-06
60,Instagram,873.24,34,2024-10-31
61,Instagram,3845.18,89,2023-02-23
62,TikTok,198.2,124,2024-07-09
63,TikTok,2021.16,330,2023-06-17
64,Facebook,2672.33,1,2024-09-26
65,Instagram,4870.71,403,2024-09-11
66,Google,917.11,43,2023-11-20
67,Facebook,958.19,280,2023-06-05
68,TikTok,4033.84,365,2024-01-05
69,Instagram,4648.91,378,2024-07-02
70,Google,2101.41,84,2024-11-09
71,Instagram,3659.61,447,2023-06-17
72,Instagram,508.05,301,2023-09-15
73,Facebook,1803.25,480,2024-04-01
74,Email,4177.68,494,2023-10-01
75,Google,523.36,54,2024-01-20
76,Email,2374.25,330,2024-08-06
77,Instagram,4427.38,382,2024-01-25
